"U.S. Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Fossil fuel combustion: carbon dioxide",1468.9438941173537,1422.327404638363,1477.6434261606043,1508.6070344452598,1553.9473535757436,1580.6778576891738,1627.3631051220616,1643.515553738368,1678.920337578081,1746.3443236253372,1792.2018918567805,1762.4640682225681,1803.0183444033823,1811.9842870520733,1845.2207109142666,1858.552169370907,1859.1330064813542,1860.7374975187065,1759.6813237613826,1688.480574496392,1696.608864240964,1670.3719648319513,1659.3918381010515,1668.9895258366234,1707.243685787802,1718.2349882852532,1757.7188151974915,1780.1033709362498,1812.902909962846,1816.3968480755073,1572.5250367991966,1752.4273893095842
"Use of fluorinated gases",0,0,1.062711,4.63580172,11.28462027,17.843188456,25.813932632,34.05063544,39.818155846,45.676996662,51.1271658856,56.4408442777,58.7022034682,60.2733307941,62.074036189,63.0902586504,64.0526205049,64.8638693299,65.5011102923,64.7974485931,62.1096966704,57.0357850055,52.2553456562,47.2642287051,44.7332393247,42.5778097027,39.8596059916,37.0314009211,35.5494807775,34.0305694847,32.5198520567,31.2442015388
"Fossil fuel combustion: other greenhouse gases",40.62673767379903,41.850167095028034,44.26714774031666,45.99486550097552,47.84947117935409,49.33449556277106,50.48705110045226,51.39975473678143,51.8737231801655,49.425284215312544,48.42636704387566,45.55333843074557,43.64814646272242,41.40820126140315,38.74599093137447,34.19256994766403,33.32886767169502,31.404408946828653,28.812871097805022,27.24418647930418,26.04633348494141,24.92431858871938,22.698245898497937,20.691357000171237,18.73359986422388,17.37169687210818,16.13591109820515,14.866754743280174,13.62724129628471,15.013199054665343,12.121515535213993,12.656998501621098
"Transportation non-energy use",11.8386752580379,10.5909057919209,10.7978808133355,10.9950351155021,11.4919904155383,11.2947015829711,10.9613352501368,11.579435175967,12.1219962818269,12.2487911844485,12.0650899223479,11.0542957569926,10.9233304119505,10.0987935863083,10.2311715005573,10.1776956662951,9.9158322414114,10.2398487113998,9.5065907626051,8.5470526799011,10.4108368506381,9.9802723033273,9.1082462462523,9.6432063844749,10.0467975864534,10.9515145308887,10.3824509360989,9.5505149384204,9.2143907323726,8.8338714941072,7.7768661361253,7.976711046305
"Gross total",1521.4093070491906,1474.768477525312,1533.7711657142565,1570.2327367817375,1624.573435440636,1659.150243290916,1714.6254241046504,1740.5453790911165,1782.7342128860735,1853.6953956870982,1903.8205147086042,1875.5125466880063,1916.2920247462553,1923.7646126938848,1956.2719095351986,1966.012693635266,1966.4303268993606,1967.245624506835,1863.5018959140928,1789.0692622486972,1795.1757312469435,1762.3123407294981,1743.4536759020018,1746.5883179263697,1780.757322563179,1789.1360093909502,1824.0967832233953,1841.5520415390502,1871.2940227690033,1874.2744881089798,1624.943270527236,1804.3053003963103
